shipment_id,shipment_date,origin,destination,lane,carrier_id,carrier_name,vehicle_type,weight_kg,distance_km,priority,industry,bid_price_inr,transit_days_planned,transit_days_actual,on_time_delivery,delayed_days,damage_reported,delivered,carrier_score,risk_level,award_given,feedback_rating,negotiation_signal,market_rate_inr
SHP-00073,2024-03-22,Hyderabad,Indore,HYD-IND,C009,Rivigo,Container,3490.2,1741,Standard,FMCG,35150.42,5,11.5,No,6.5,No,Yes,100.0,Low,Yes,2.3,No,34820
SHP-00074,2023-09-07,Chennai,Indore,CHE-IND,C001,BlueDart Express,Container,2619.5,965,Express,Industrial,21474.21,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.4,Yes,19300
SHP-00075,2024-10-22,Pune,Bengaluru,PUN-BEN,C009,Rivigo,Container,1754.7,1596,Standard,Industrial,29360.77,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.5,No,31920
SHP-00076,2024-10-20,Bengaluru,Ahmedabad,BEN-AHM,C013,Allcargo Logistics,Container,7437.0,1586,Urgent,Chemical,75533.37,3,3.0,Yes,0.0,No,Yes,95.0,Low,Yes,3.1,Yes,31720
SHP-00077,2023-02-28,Coimbatore,Surat,COI-SUR,C013,Allcargo Logistics,HCV,8891.7,862,Urgent,FMCG,38350.16,2,2.0,Yes,0.0,No,Yes,94.6,Low,Yes,4.2,Yes,17240
SHP-00078,2024-05-02,Nagpur,Kochi,NAG-KOC,C010,XpressBees Freight,LCV,14315.8,1435,Express,Machinery,57041.49,3,8.3,No,5.3,No,Yes,91.2,Low,Yes,1.7,Yes,28700
SHP-00079,2023-10-17,Pune,Delhi,PUN-DEL,C004,TCI Freight,Trailer,6594.5,1749,Urgent,Food & Beverage,67414.53,4,4.0,Yes,0.0,No,Yes,98.7,Low,Yes,3.7,Yes,34980
SHP-00080,2023-05-25,Lucknow,Chennai,LUC-CHE,C009,Rivigo,HCV,5829.1,1689,Urgent,Pharma,56055.28,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.4,Yes,33780
SHP-00081,2024-06-04,Bengaluru,Lucknow,BEN-LUC,C009,Rivigo,HCV,9670.2,1071,Standard,Food & Beverage,27842.59,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.0,Yes,21420
SHP-00082,2023-02-08,Kolkata,Hyderabad,KOL-HYD,C003,Delhivery Freight,LCV,4472.1,458,Urgent,Food & Beverage,30302.71,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.4,Yes,9160
SHP-00083,2024-04-04,Ludhiana,Pune,LUD-PUN,C012,ShadowFax Freight,HCV,703.2,1196,Standard,Chemical,25255.3,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.4,No,23920
SHP-00084,2023-07-24,Vadodara,Coimbatore,VAD-COI,C008,VRL Logistics,Trailer,4262.5,1875,Urgent,Food & Beverage,56907.59,4,4.0,Yes,0.0,No,Yes,92.4,Low,Yes,4.1,Yes,37500
SHP-00085,2024-03-23,Chennai,Visakhapatnam,CHE-VIS,C014,DHL Supply Chain India,MCV,4311.7,555,Standard,Chemical,16750.51,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.8,Yes,11100
SHP-00086,2024-10-27,Nagpur,Visakhapatnam,NAG-VIS,C006,Ecom Express,LCV,5823.2,782,Standard,Electronics,19974.82,2,2.0,Yes,0.0,No,Yes,84.5,Low,Yes,4.7,Yes,15640
SHP-00087,2024-09-15,Kochi,Coimbatore,KOC-COI,C010,XpressBees Freight,LCV,13592.6,310,Standard,Electronics,25278.39,1,1.0,Yes,0.0,No,Yes,85.6,Low,Yes,3.8,Yes,6200
SHP-00088,2023-09-05,Ludhiana,Coimbatore,LUD-COI,C002,GATI Limited,Trailer,12558.5,527,Urgent,Food & Beverage,35063.5,1,1.0,Yes,0.0,Yes,Yes,93.8,Low,Yes,3.4,Yes,10540
SHP-00089,2024-04-26,Bengaluru,Visakhapatnam,BEN-VIS,C006,Ecom Express,Container,14303.4,438,Urgent,Food & Beverage,38380.32,1,1.0,Yes,0.0,No,Yes,83.8,Low,Yes,3.1,Yes,8760
SHP-00090,2024-10-20,Kolkata,Chennai,KOL-CHE,C013,Allcargo Logistics,HCV,11041.0,1491,Standard,Automotive,35407.52,4,4.0,Yes,0.0,No,Yes,97.9,Low,Yes,4.6,Yes,29820
SHP-00091,2024-07-10,Bengaluru,Kochi,BEN-KOC,C001,BlueDart Express,MCV,3063.8,570,Standard,Industrial,18150.77,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.1,Yes,11400
SHP-00092,2024-05-24,Lucknow,Jaipur,LUC-JAI,C002,GATI Limited,Trailer,5551.9,1937,Express,Retail,46136.28,5,5.0,Yes,0.0,No,Yes,92.9,Low,Yes,3.9,Yes,38740
SHP-00093,2023-06-20,Pune,Vadodara,PUN-VAD,C005,Mahindra Logistics,HCV,1583.8,957,Standard,Textile,19424.97,2,2.0,Yes,0.0,No,Yes,94.4,Low,Yes,5.0,No,19140
SHP-00094,2024-09-14,Jaipur,Delhi,JAI-DEL,C002,GATI Limited,HCV,9580.8,282,Urgent,Pharma,22359.38,1,1.0,Yes,0.0,No,Yes,94.3,Low,Yes,3.7,Yes,5640
SHP-00095,2024-06-26,Vadodara,Delhi,VAD-DEL,C010,XpressBees Freight,HCV,10202.0,614,Standard,Chemical,27665.73,1,1.0,Yes,0.0,No,Yes,85.5,Low,Yes,3.4,Yes,12280
SHP-00096,2024-05-17,Bhopal,Nagpur,BHO-NAG,C015,FedEx Freight India,HCV,1810.5,1450,Express,Electronics,51092.27,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,5.0,Yes,29000
SHP-00097,2024-10-15,Lucknow,Nagpur,LUC-NAG,C012,ShadowFax Freight,HCV,8272.5,432,Standard,Pharma,25007.71,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.5,Yes,8640
SHP-00098,2023-11-13,Kochi,Mumbai,KOC-MUM,C006,Ecom Express,Trailer,8605.5,1434,Urgent,Pharma,54964.24,3,3.0,Yes,0.0,No,Yes,84.2,Low,Yes,4.1,Yes,28680
SHP-00099,2024-10-17,Hyderabad,Kanpur,HYD-KAN,C011,SpotOn Logistics,Container,6777.1,451,Standard,Pharma,22220.83,1,1.0,Yes,0.0,No,Yes,82.4,Low,Yes,4.7,Yes,9020
SHP-00100,2023-09-14,Bhopal,Hyderabad,BHO-HYD,C005,Mahindra Logistics,MCV,2471.4,637,Standard,Food & Beverage,19929.68,2,5.2,No,3.2,No,Yes,92.9,Low,Yes,2.8,Yes,12740
SHP-00101,2023-03-25,Vadodara,Ludhiana,VAD-LUD,C003,Delhivery Freight,Container,9898.1,650,Standard,Machinery,25325.38,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.8,Yes,13000
SHP-00102,2023-11-01,Mumbai,Bhopal,MUM-BHO,C015,FedEx Freight India,HCV,8206.4,1584,Express,Electronics,63802.12,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.7,Yes,31680
SHP-00103,2023-04-19,Hyderabad,Kanpur,HYD-KAN,C014,DHL Supply Chain India,HCV,4823.8,1771,Express,Pharma,59574.07,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.6,Yes,35420
SHP-00104,2024-06-11,Nagpur,Coimbatore,NAG-COI,C004,TCI Freight,HCV,13539.5,2072,Urgent,Industrial,61916.67,5,9.8,No,4.8,No,Yes,97.6,Low,Yes,2.0,Yes,41440
SHP-00105,2024-03-17,Vadodara,Kanpur,VAD-KAN,C001,BlueDart Express,Container,4256.3,403,Express,Textile,19778.43,1,1.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.1,Yes,8060
SHP-00106,2024-09-30,Visakhapatnam,Ahmedabad,VIS-AHM,C006,Ecom Express,Trailer,4364.6,1433,Urgent,Chemical,57931.95,3,3.0,Yes,0.0,No,Yes,86.5,Low,Yes,3.7,Yes,28660
SHP-00107,2024-04-30,Kanpur,Hyderabad,KAN-HYD,C004,TCI Freight,Container,7661.4,1533,Standard,Automotive,29789.2,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.6,No,30660
SHP-00108,2023-01-18,Nagpur,Surat,NAG-SUR,C010,XpressBees Freight,Container,7634.4,988,Urgent,Chemical,45794.89,2,2.0,Yes,0.0,No,Yes,90.1,Low,Yes,4.5,Yes,19760
SHP-00109,2023-06-24,Mumbai,Bhopal,MUM-BHO,C005,Mahindra Logistics,Container,11754.4,1642,Urgent,Electronics,83193.17,4,4.0,Yes,0.0,No,Yes,97.2,Low,Yes,3.5,Yes,32840
SHP-00110,2024-09-18,Vadodara,Chennai,VAD-CHE,C004,TCI Freight,Trailer,6643.5,338,Standard,Retail,14630.1,1,7.7,No,6.7,No,Yes,96.1,Low,Yes,2.2,Yes,6760
SHP-00111,2024-11-28,Kochi,Visakhapatnam,KOC-VIS,C007,Safexpress,Trailer,14352.4,942,Urgent,Industrial,63692.07,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.1,Yes,18840
SHP-00112,2023-10-08,Kolkata,Lucknow,KOL-LUC,C013,Allcargo Logistics,Trailer,10588.3,891,Standard,Chemical,34586.35,2,2.0,Yes,0.0,No,Yes,96.5,Low,Yes,3.7,Yes,17820
SHP-00113,2023-08-08,Hyderabad,Lucknow,HYD-LUC,C001,BlueDart Express,LCV,14331.9,889,Standard,Chemical,41758.51,2,2.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.2,Yes,17780
SHP-00114,2024-04-28,Vadodara,Kolkata,VAD-KOL,C004,TCI Freight,Container,10064.0,403,Standard,Electronics,16021.51,1,1.0,Yes,0.0,Yes,Yes,100.0,Low,Yes,3.8,Yes,8060
SHP-00115,2023-04-02,Kochi,Bhopal,KOC-BHO,C011,SpotOn Logistics,HCV,11350.9,708,Standard,Textile,35781.74,1,1.0,Yes,0.0,No,Yes,77.4,Medium,Yes,4.8,Yes,14160
SHP-00116,2023-10-24,Indore,Pune,IND-PUN,C015,FedEx Freight India,Trailer,593.3,2183,Express,Pharma,72585.7,4,4.0,Yes,0.0,No,Yes,100.0,Low,Yes,3.6,Yes,43660
SHP-00117,2023-06-16,Visakhapatnam,Bhopal,VIS-BHO,C008,VRL Logistics,Container,14081.5,2121,Express,Textile,50551.02,4,4.0,Yes,0.0,No,No,89.2,Low,No,3.6,Yes,42420
SHP-00118,2023-04-08,Ahmedabad,Pune,AHM-PUN,C010,XpressBees Freight,Trailer,9599.0,2053,Express,Food & Beverage,56228.12,5,5.0,Yes,0.0,No,Yes,86.9,Low,Yes,3.5,Yes,41060
SHP-00119,2023-05-02,Jaipur,Kanpur,JAI-KAN,C005,Mahindra Logistics,LCV,10857.1,1492,Standard,Industrial,38356.45,3,3.0,Yes,0.0,No,Yes,97.6,Low,Yes,4.5,Yes,29840
SHP-00120,2024-01-18,Chennai,Lucknow,CHE-LUC,C006,Ecom Express,MCV,3351.7,1558,Express,Pharma,44743.57,4,4.0,Yes,0.0,No,Yes,85.7,Low,Yes,3.4,Yes,31160
SHP-00121,2024-06-01,Kolkata,Bengaluru,KOL-BEN,C009,Rivigo,HCV,7946.2,1214,Standard,Machinery,29248.83,3,3.0,Yes,0.0,No,Yes,100.0,Low,Yes,4.4,Yes,24280
